,date,analysed_days,is_holiday,line_id,route_id,segment,hour,h_travel_t,h_sch_t,h_traffic_t,h_boarding_t,s_t_in_motion,s_total_t,adj_sch_t,h_avg_speed,s_speed
45992,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,16,68,60,6,27,42,75,60,34,40
45993,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,16,210,180,74,0,92,180,180,21,26
45994,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,17,66,60,25,43,31,60,60,19,24
45995,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,17,90,60,17,15,29,60,60,16,18
45996,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,17,60,60,9,18,32,60,60,31,35
45997,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,17,92,120,9,29,61,105,120,26,29
45998,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,17,92,60,7,23,48,75,60,41,45
45999,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,17,95,60,21,17,45,90,60,28,33
46000,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,17,55,60,6,17,33,60,60,35,39
46001,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,17,54,60,5,17,28,45,60,36,39
46002,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,17,65,60,6,31,39,75,60,39,43
46003,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,17,107,120,8,15,59,75,60,35,40
46004,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,17,90,60,5,13,66,90,60,36,37
46005,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,17,96,120,16,17,59,90,120,34,40
46006,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,17,100,120,26,32,56,120,120,32,35
46007,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,17,116,120,7,15,57,75,60,31,37
46008,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,17,71,60,6,30,42,75,60,33,40
46009,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,17,198,180,59,0,92,180,180,21,26
46010,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,18,59,60,21,33,31,60,60,19,24
46011,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,18,90,60,23,15,29,60,60,15,18
46012,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,18,55,60,6,16,32,60,60,30,35
46013,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,18,89,120,9,32,61,105,120,26,29
46014,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,18,89,60,5,20,48,75,60,41,45
46015,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,18,90,60,18,14,45,75,60,28,33
46016,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,18,53,60,7,17,33,60,60,34,39
46017,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,18,54,60,5,17,28,45,60,36,39
46018,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,18,65,60,6,25,39,75,60,38,43
46019,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,18,103,120,8,14,59,75,60,36,40
46020,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,18,93,60,7,13,66,90,60,35,37
46021,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,18,94,120,14,14,59,90,60,34,40
46022,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,18,96,120,26,35,56,120,120,31,35
46023,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,18,115,120,6,15,57,75,60,32,37
46024,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,18,71,60,6,28,42,75,60,34,40
46025,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,18,192,180,58,0,92,180,180,23,26
46026,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,19,60,60,20,33,31,60,60,18,24
46027,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,19,88,60,25,15,29,75,60,15,18
46028,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,19,55,60,7,15,32,60,60,30,35
46029,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,19,88,120,8,29,61,105,120,26,29
46030,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,19,90,60,6,15,48,75,60,40,45
46031,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,19,82,60,14,14,45,75,60,28,33
46032,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,19,52,60,6,15,33,60,60,35,39
